name,X,Y,Z,factor,weight,distance.Origin,angle.Factor,is.Factor,count,color,color1
zara,0.080827357,-0.005636629,0.014920564,Factor6,13.82674247,0.082386021,58.55644514,0,123,#bd5b72,0xf6ebcf
prideofgypsies,-0.075254242,0.027832798,0.065425767,Factor2,13.28911772,0.10352969,37.81583182,0,153,#891514,0xf6ebcf
garyvee,0.034686355,0.028322622,0.00550866,Factor5,11.99632553,0.045118283,38.42773759,0,137,#bd5b72,0xf6ebcf
kevinhart4real,0.078673835,-0.021314026,0.029075341,Factor5,13.98950762,0.086540369,16.74236106,0,314,#bd5b72,0xf6ebcf
jayshetty,0.023857749,-0.004837342,0.010472607,Factor5,11.3243203,0.026500331,12.98465467,0,134,#bd5b72,0xf6ebcf
people,0.002030424,-0.051587316,-0.039419337,Factor3,12.90433381,0.064955815,23.22253917,0,183,#891514,0xf6ebcf
vancityreynolds,-0.170992831,-0.005726532,0.084111395,Factor2,16.7301713,0.190646449,16.51756259,0,379,#891514,0xf6ebcf
tylerjcameron3,0.001235816,-0.05172453,-0.081097814,Factor3,12.8372959,0.096196724,14.62098378,0,136,#891514,0xf6ebcf
drewbarrymore,-0.097162681,-0.044349988,0.061834781,Factor2,14.38485153,0.123414133,9.074397431,0,217,#891514,0xf6ebcf
bonappetitmag,0.002738798,0.017620342,0.004983204,Factor6,12.48257582,0.018515123,46.49227465,0,143,#bd5b72,0xf6ebcf
nickjonas,-0.003535685,-0.04871901,0.005970107,Factor1,12.27355234,0.04921062,70.95266538,0,125,#891514,0xf6ebcf
milliebobbybrown,-0.005977247,0.001820655,0.05707098,Factor2,12.47490465,0.057412011,62.8361232,0,136,#891514,0xf6ebcf
caradelevingne,0.056210056,-0.010127302,0.055783895,Factor1,13.26926311,0.079837181,43.77208658,0,138,#891514,0xf6ebcf
barackobama,-0.016202668,0.035227285,0.027483165,Factor5,13.9811731,0.047526965,93.81586751,0,469,#bd5b72,0xf6ebcf
michelleobama,0.002930673,-0.014808255,0.02811526,Factor5,14.69797252,0.031911457,66.5455976,0,589,#bd5b72,0xf6ebcf
zacefron,-0.066387767,-0.026866115,0.039255378,Factor2,13.76595716,0.081670732,6.921239628,0,196,#891514,0xf6ebcf
robertdowneyjr,-0.147669996,-0.007805962,0.106095096,Factor2,15.82086449,0.181998709,19.67791855,0,143,#891514,0xf6ebcf
stephencurry30,0.035365933,0.012758329,0.010467009,Factor5,13.73908538,0.039026689,17.60747041,0,148,#bd5b72,0xf6ebcf
leonardodicaprio,-0.046723865,0.001603032,0.073959204,Factor2,13.34892253,0.08749659,38.7684969,0,189,#891514,0xf6ebcf
davidbeckham,-0.015161289,0.004888848,0.095822137,Factor2,12.86489438,0.097137261,60.44436908,0,183,#891514,0xf6ebcf
markwahlberg,-0.085807099,-0.005482904,0.066395328,Factor2,14.10286999,0.108633604,20.63498782,0,144,#891514,0xf6ebcf
instadanjlevy,-0.064775545,0.019746398,0.027463672,Factor9,12.22664567,0.07307561,56.82999588,0,214,#bd5b72,0xf6ebcf
chelseahandler,-0.053477539,-0.001849671,0.03229501,Factor2,12.53340609,0.062499889,17.99060564,0,188,#891514,0xf6ebcf
chrishemsworth,-0.126351008,-0.022637716,0.09777381,Factor2,15.70521673,0.161359106,17.12393475,0,197,#891514,0xf6ebcf
nasa,-0.041388167,0.042855471,0.05033323,Factor6,13.18290817,0.077993627,57.66700998,0,257,#bd5b72,0xf6ebcf
billieeilish,0.06517422,-0.028613494,0.077353018,Factor1,13.19353437,0.105118507,45.32071451,0,225,#891514,0xf6ebcf
joebiden,-0.041970361,0.013397514,0.037229335,Factor5,12.22596017,0.057680395,114.8429368,0,182,#bd5b72,0xf6ebcf
arianagrande,0.121113834,-0.054595535,0.030674646,Factor1,15.60801366,0.136345763,11.00025564,0,291,#891514,0xf6ebcf
zendaya,0.087278179,-0.023653956,0.020991316,Factor1,12.9798022,0.092831166,13.5163651,0,160,#891514,0xf6ebcf
kendalljenner,0.174035824,-0.069797864,-0.017149801,Factor1,17.76954357,0.188293191,7.392678533,0,435,#891514,0xf6ebcf
ddlovato,0.067693959,-0.089578342,-0.014332875,Factor1,14.55163035,0.113190913,31.19558013,0,289,#891514,0xf6ebcf
katyperry,0.069715944,-0.068353429,0.045975654,Factor1,14.15321987,0.107917861,30.96823728,0,208,#891514,0xf6ebcf
shaunking,0.041820601,0.030378838,0.012140153,Factor5,13.2276781,0.053096325,32.99550617,0,141,#bd5b72,0xf6ebcf
badgalriri,0.139266664,0.006475193,0.051325947,Factor1,14.27540846,0.148564749,31.00734368,0,298,#891514,0xf6ebcf
jlo,0.076760797,-0.056238057,0.032893795,Factor1,14.03992128,0.100682376,21.32138139,0,471,#891514,0xf6ebcf
thehughjackman,-0.137746452,-0.016585718,0.097533526,Factor2,15.53675799,0.169593513,16.99228963,0,123,#891514,0xf6ebcf
emmawatson,-0.083900073,-0.023441283,0.062009476,Factor2,13.95848634,0.106929374,13.68082929,0,223,#891514,0xf6ebcf
annakendrick47,-0.13764258,-0.057272066,0.009547388,Factor2,15.00507077,0.149387824,18.76817357,0,215,#891514,0xf6ebcf
sarahhyland,-0.025255063,-0.043688716,-0.025635667,Factor2,12.04736655,0.056601321,62.80638771,0,124,#891514,0xf6ebcf
natgeo,-0.044786173,0.032397514,0.011079522,Factor6,12.89767734,0.056375137,85.58030008,0,513,#bd5b72,0xf6ebcf
kingjames,0.053771183,0.021950982,0.015374061,Factor5,13.89144313,0.06007951,19.99127535,0,268,#bd5b72,0xf6ebcf
therock,-0.014917484,-0.010385256,0.061565764,Factor2,13.19551806,0.064192898,52.04068441,0,523,#891514,0xf6ebcf
instagram,0.070486816,-0.014432687,0.031968902,Factor1,12.00333683,0.078731851,24.56666849,0,322,#891514,0xf6ebcf
kylerichards18,0.015808432,0.070609825,0.107617692,Factor7,17.99338261,0.12968123,6.717781976,0,148,#d6bc1f,0xf6ebcf
taylorswift,-0.019735145,-0.084099962,-0.03347898,Factor3,12.76642943,0.092645139,32.32294333,0,509,#891514,0xf6ebcf
naacp,0.030797242,0.037264418,0.021797008,Factor5,12.3027227,0.053030336,43.82096046,0,129,#bd5b72,0xf6ebcf
theprettymess,0.031975689,0.077031918,0.123015789,Factor7,17.75513211,0.148624511,12.27042158,0,122,#d6bc1f,0xf6ebcf
mileycyrus,0.070870418,-0.058350193,0.026041162,Factor1,14.43621668,0.095422761,21.21230937,0,277,#891514,0xf6ebcf
thedailyshow,-0.013215355,0.018464836,-0.001085068,Factor5,13.40272989,0.022732645,121.4768986,0,229,#bd5b72,0xf6ebcf
womenshealthmag,0.000247904,-0.026368291,-0.045893427,Factor3,12.20477462,0.052929717,14.86358876,0,166,#891514,0xf6ebcf
newyorkermag,0.013835645,0.043754488,0.007057841,Factor6,13.18721036,0.046429446,49.25015674,0,148,#bd5b72,0xf6ebcf
kourtneykardash,0.177941385,-0.07606144,-0.01830258,Factor1,17.72056241,0.194379689,7.465837758,0,395,#891514,0xf6ebcf
kimkardashian,0.21046754,-0.061268067,-0.003409708,Factor1,17.99756894,0.219230444,7.468827564,0,504,#891514,0xf6ebcf
hgtv,-0.025202416,-0.080709649,-0.099725652,Factor3,14.28549442,0.130745611,4.544421284,0,156,#891514,0xf6ebcf
jessicasimpson,-0.044256746,-0.062546484,-0.018933674,Factor2,12.7572327,0.078925321,49.92349286,0,196,#891514,0xf6ebcf
blakelively,-0.095970783,-0.038832131,-0.001029709,Factor2,14.28791877,0.103534467,22.89486289,0,352,#891514,0xf6ebcf
johnmayer,-0.010534576,0.037599245,0.003355926,Factor4,11.71534722,0.039191106,35.64863539,0,148,#a98580,0xf6ebcf
nordstrom,0.028266926,-0.029806416,-0.070092003,Factor3,13.29262936,0.081242417,36.03470428,0,150,#891514,0xf6ebcf
gwenstefani,-0.060612052,-0.056906093,0.04572671,Factor2,13.67523985,0.094884436,22.33345289,0,143,#891514,0xf6ebcf
channingtatum,-0.095760929,-0.019072776,0.037020623,Factor2,14.3346428,0.104424388,7.801092871,0,145,#891514,0xf6ebcf
chrissyteigen,0.005027374,-0.035534139,-0.047413443,Factor3,13.1068593,0.059464141,18.58524783,0,720,#891514,0xf6ebcf
britneyspears,-0.004272402,-0.016096971,0.008987002,Factor2,12.27779408,0.018924379,50.25248414,0,313,#891514,0xf6ebcf
kristenanniebell,-0.13695545,-0.064634382,0.005990154,Factor2,14.70949113,0.151559495,20.69770862,0,483,#891514,0xf6ebcf
johnlegend,-0.012383312,-0.016082272,0.036532844,Factor5,12.27799206,0.041792758,87.73082852,0,222,#bd5b72,0xf6ebcf
reesewitherspoon,-0.073092808,-0.101391239,-0.012124812,Factor2,13.64889699,0.125577678,43.84919859,0,617,#891514,0xf6ebcf
victoriabeckham,0.044023349,-0.019268215,0.084896711,Factor6,13.81746184,0.097553938,37.02110355,0,195,#bd5b72,0xf6ebcf
jessicaalba,0.003615855,-0.055464191,0.028683712,Factor2,12.31741599,0.062546833,66.61300314,0,189,#891514,0xf6ebcf
sofiavergara,-0.040722734,-0.039474298,0.052713651,Factor2,13.41124098,0.07742926,29.09691185,0,135,#891514,0xf6ebcf
amyschumer,-0.075875283,-0.024894074,0.029228852,Factor2,13.12638146,0.08503587,2.435246641,0,334,#891514,0xf6ebcf
traceeellisross,0.090604943,0.008457248,0.015469902,Factor5,15.98960788,0.09230438,12.78879451,0,143,#bd5b72,0xf6ebcf
serenawilliams,0.045764262,0.02529836,0.045166938,Factor5,14.52469684,0.069097228,29.0109229,0,202,#bd5b72,0xf6ebcf
haileybieber,0.09152105,-0.002835172,-0.021227326,Factor1,14.02778759,0.093993299,25.99949773,0,153,#891514,0xf6ebcf
sephora,0.07489949,-0.033774262,-0.022021222,Factor6,12.6223439,0.085062145,90.83217088,0,194,#bd5b72,0xf6ebcf
willsmith,0.023156137,0.022423533,0.068218702,Factor5,13.32314456,0.075450731,50.40856894,0,291,#bd5b72,0xf6ebcf
jadapinkettsmith,0.101844964,-0.006057818,0.022223659,Factor5,15.7921115,0.104417359,11.39555812,0,145,#bd5b72,0xf6ebcf
kyliejenner,0.206439157,-0.061995951,-0.005306219,Factor1,18.09375186,0.215612568,7.259465762,0,482,#891514,0xf6ebcf
aliciakeys,0.057019874,-0.026569595,0.031359046,Factor5,13.94208674,0.070289396,25.42700545,0,144,#bd5b72,0xf6ebcf
champagnepapi,0.117701145,0.051645998,0.038639435,Factor5,14.00177329,0.134215777,20.6222442,0,253,#bd5b72,0xf6ebcf
lisavanderpump,0.02602587,0.064756973,0.104234829,Factor7,17.16915583,0.125442063,11.87891601,0,128,#d6bc1f,0xf6ebcf
stassischroeder,0.027983464,0.045205069,0.015484691,Factor7,15.03029386,0.055374617,45.67604877,0,163,#d6bc1f,0xf6ebcf
iamcardib,0.151491621,0.021823301,0.044232488,Factor1,14.26336538,0.159318802,33.85760448,0,343,#891514,0xf6ebcf
shakira,0.034485124,-0.044653808,0.062930096,Factor1,12.50553359,0.084518538,52.48548255,0,166,#891514,0xf6ebcf
khloekardashian,0.182594687,-0.069837499,-0.018605006,Factor1,17.73316558,0.196377805,7.803618329,0,487,#891514,0xf6ebcf
gabunion,0.078985829,-0.014702232,0.002151006,Factor5,15.11632164,0.080371286,24.24959994,0,153,#bd5b72,0xf6ebcf
beyonce,0.131211163,-0.018555516,0.035678198,Factor5,14.39034379,0.137235602,12.30097525,0,515,#bd5b72,0xf6ebcf
liketoknow.it,0.026425221,-0.037827374,-0.086027213,Factor3,13.51411092,0.097621125,31.44829427,0,191,#891514,0xf6ebcf
robinnyc,0.013094689,0.005034667,0.000383238,Factor8,16.02207947,0.014034444,69.44751908,0,546,#d6bc1f,0x392c2c
oprah,0.014758839,-0.028014393,0.019773073,Factor5,14.82318135,0.037331005,57.69551464,0,381,#bd5b72,0xf6ebcf
sophiet,-0.053231412,0.013966903,0.014423949,Factor2,12.69387351,0.056892073,33.23031451,0,222,#891514,0xf6ebcf
voguemagazine,0.06765131,0.002787442,0.063192501,Factor6,15.76368785,0.092616207,30.46692813,0,200,#bd5b72,0xf6ebcf
aloyoga,0.03354082,-0.025610716,-0.034623029,Factor3,11.58987317,0.054586166,51.58488497,0,137,#891514,0xf6ebcf
joerogan,-0.022350636,0.062474583,0.041352767,Factor2,11.31215696,0.078183603,78.33298701,0,152,#891514,0xf6ebcf
tonyrobbins,0.030788943,0.0117688,0.01341641,Factor5,11.43690479,0.03558741,16.98552925,0,135,#bd5b72,0xf6ebcf
justinbieber,0.115419166,-0.051333718,0.006540923,Factor1,15.37385513,0.126489202,1.263360743,0,259,#891514,0xf6ebcf
bellahadid,0.115226127,-0.015841878,0.054854925,Factor1,14.78042595,0.12859661,27.45895876,0,146,#891514,0xf6ebcf
dualipa,0.09340981,-0.037925618,0.046300383,Factor1,13.79046392,0.110939039,22.62499184,0,131,#891514,0xf6ebcf
mindykaling,-0.070590378,-0.026390817,-0.004832821,Factor2,12.51328112,0.075517103,25.87993274,0,266,#891514,0xf6ebcf
halfbakedharvest,0.006773004,-0.021585764,-0.083547407,Factor3,12.99666011,0.08655627,27.36592769,0,150,#891514,0xf6ebcf
betches,0.008703858,0.075316196,-0.124513418,Factor4,14.89069816,0.145780238,30.38228603,0,380,#a98580,0xf6ebcf
targetdoesitagain,0.014676258,-0.030675701,-0.089835204,Factor3,13.31311304,0.096055999,27.65377607,0,142,#891514,0xf6ebcf
goop,0.001654022,-0.027315725,-0.012064034,Factor6,12.15403628,0.029906948,134.0474818,0,134,#bd5b72,0xf6ebcf
whole30recipes,-0.00217868,-0.04274143,-0.098415488,Factor3,13.76529181,0.107318147,17.00096053,0,147,#891514,0xf6ebcf
foodnetwork,-0.0232226,-0.024916502,-0.035574231,Factor3,12.23505965,0.049250859,14.47663342,0,165,#891514,0xf6ebcf
buzzfeedtasty,0.036931798,-0.012486446,-0.038498316,Factor3,11.67590059,0.054790413,58.21674649,0,301,#891514,0xf6ebcf
chanelofficial,0.091851942,0.012304071,0.081022394,Factor6,15.80898757,0.123096701,28.43642005,0,156,#bd5b72,0xf6ebcf
louisvuitton,0.088316564,0.02499593,0.065378744,Factor6,15.02799621,0.112689805,27.73662338,0,162,#bd5b72,0xf6ebcf
gucci,0.088318612,0.018852922,0.063110975,Factor6,14.89645415,0.110175338,30.15142547,0,125,#bd5b72,0xf6ebcf
snoopdogg,0.097777786,0.011065446,0.048622258,Factor5,13.44976115,0.109759116,5.447005184,0,193,#bd5b72,0xf6ebcf
patagonia,-0.05537084,0.041778967,-0.008650674,Factor6,11.25128274,0.069901689,99.70396526,0,123,#bd5b72,0xf6ebcf
jenniferaniston,-0.084065841,-0.044036916,0.014724906,Factor2,13.96141481,0.096037173,15.49223027,0,601,#891514,0xf6ebcf
banksy,-0.021204217,0.056662656,0.049725417,Factor6,11.1392855,0.078312787,44.81258282,0,126,#bd5b72,0xf6ebcf
emilia_clarke,-0.103983024,0.006195784,0.059570503,Factor2,14.19020582,0.119997925,21.89944634,0,224,#891514,0xf6ebcf
iamtabithabrown,0.042239701,-0.000266549,-0.021328313,Factor5,12.29374692,0.047319767,49.03133111,0,161,#bd5b72,0xf6ebcf
officiallymcconaughey,-0.046856932,-0.018803837,0.031680778,Factor2,12.76964319,0.059605604,10.13351759,0,158,#891514,0xf6ebcf
jessicabiel,-0.113125267,-0.081254738,-0.019753621,Factor2,14.6833271,0.140676451,34.16860567,0,197,#891514,0xf6ebcf
apartmenttherapy,0.028718897,0.016671637,-0.041689687,Factor6,12.15227994,0.053298673,105.5500644,0,145,#bd5b72,0xf6ebcf
tanfrance,-0.002039266,0.014761392,0.121742847,Factor9,18.63260231,0.12265145,8.465858812,0,165,#bd5b72,0xf6ebcf
npr,-0.031683481,0.033876906,-0.002606881,Factor6,12.25672944,0.046457331,90.68143031,0,164,#bd5b72,0xf6ebcf
trevornoah,-0.01333934,0.032080613,0.015325147,Factor5,13.00769981,0.0379732,97.91652797,0,131,#bd5b72,0xf6ebcf
nytimes,-0.003137624,0.050039949,0.024214119,Factor6,13.87340747,0.055679123,44.46161554,0,253,#bd5b72,0xf6ebcf
aoc,0.023536471,0.034552194,0.021235004,Factor5,12.52538736,0.046890777,48.2569277,0,216,#bd5b72,0xf6ebcf
joannagaines,-0.078533796,-0.135257255,-0.124521841,Factor3,15.97099906,0.199919412,14.97254923,0,475,#891514,0xf6ebcf
jvn,0.018112603,0.028161584,0.112929689,Factor9,18.48922721,0.117789031,17.84027944,0,250,#bd5b72,0xf6ebcf
jsimsfit,0.020738564,0.020806299,0.003201505,Factor8,14.43034787,0.02955063,46.18982602,0,211,#d6bc1f,0x392c2c
bravoandy,-0.019899137,0.046246798,0.070836161,Factor7,15.93423198,0.086905142,13.76880824,0,226,#d6bc1f,0xf6ebcf
hannahcorbinnyc,0.011579485,0.013331769,0.02079533,Factor8,15.07678364,0.027281244,38.43920401,0,127,#d6bc1f,0x392c2c
scarymommy,-0.029557006,-0.031197188,-0.055152302,Factor3,12.45825227,0.069918936,12.52814545,0,135,#891514,0xf6ebcf
denis__morton,-0.017694648,0.029386364,0.03031847,Factor8,14.01794513,0.045780657,30.53258097,0,125,#d6bc1f,0x392c2c
leannehainsby,0.005688445,0.012249979,0.040071377,Factor8,15.05282967,0.042286353,47.04147346,0,172,#d6bc1f,0x392c2c
fitxkendall,0.002096417,0.019777415,0.002690629,Factor8,15.8673533,0.020069395,19.12031599,0,235,#d6bc1f,0x392c2c
jesskingnyc,0.032043355,0.01478404,0.032314778,Factor8,16.07402386,0.047849653,53.96791028,0,182,#d6bc1f,0x392c2c
tune2tunde,0.038427321,0.037517776,0.036900501,Factor8,16.09506697,0.06516049,38.94581901,0,285,#d6bc1f,0x392c2c
emmalovewell,0.001138021,0.004610139,0.007343673,Factor8,16.74689452,0.008745171,32.15772284,0,289,#d6bc1f,0x392c2c
codyrigsby,-0.004479016,0.02325288,0.015627831,Factor8,15.21750139,0.028372295,12.68609295,0,504,#d6bc1f,0x392c2c
natgeotravel,-0.042809038,0.046189664,0.022588092,Factor6,13.23204774,0.066905311,72.29568099,0,260,#bd5b72,0xf6ebcf
jennifer.garner,-0.11187151,-0.085570753,0.00498885,Factor2,13.97599205,0.140934301,26.63357533,0,298,#891514,0xf6ebcf
selenagomez,0.090197975,-0.092294523,-0.008630729,Factor1,15.55467309,0.129338482,23.31015118,0,320,#891514,0xf6ebcf
cristiano,0.095928113,-0.017999601,0.060680442,Factor1,13.32403174,0.114927388,32.03743597,0,184,#891514,0xf6ebcf
gigihadid,0.09532914,-0.009047735,0.046462807,Factor1,14.87252737,0.106434482,29.26161888,0,262,#891514,0xf6ebcf
fallontonight,-0.052248465,-0.047710064,0.042233923,Factor2,13.24911515,0.082400586,22.17679307,0,161,#891514,0xf6ebcf
cnn,-0.004840292,0.024109419,0.007768262,Factor6,12.59853006,0.025788339,55.39326174,0,129,#bd5b72,0xf6ebcf
nike,0.03714424,0.006918519,0.013384454,Factor5,11.51474003,0.040083714,7.916750414,0,270,#bd5b72,0xf6ebcf
victoriassecret,0.063222885,-0.042014387,-0.008423258,Factor1,13.2544845,0.076375999,13.44122984,0,122,#891514,0xf6ebcf
lululemon,0.003324723,-0.037402551,-0.097239484,Factor3,13.25720266,0.104237813,20.85405077,0,279,#891514,0xf6ebcf
starbucks,0.00647284,-0.058710258,-0.067240795,Factor3,12.88422101,0.089499255,18.77280528,0,181,#891514,0xf6ebcf
disney,-0.027179611,-0.028818726,0.015918782,Factor2,11.63832702,0.042692597,25.15149373,0,135,#891514,0xf6ebcf
gq,0.057739615,0.021788383,0.065307363,Factor1,11.67095817,0.089853483,58.54371216,0,127,#891514,0xf6ebcf
nbcsnl,-0.037639742,-0.008236507,0.03480889,Factor2,12.14560639,0.051925418,20.78649874,0,151,#891514,0xf6ebcf
nfl,0.028242903,0.00340593,0.018783666,Factor1,11.57214095,0.034089412,42.07274702,0,170,#891514,0xf6ebcf
sir_twitch_alot,-0.03194228,-0.036430674,0.027194719,Factor2,12.00101193,0.055561281,27.20664021,0,127,#891514,0xf6ebcf
nickiminaj,0.13429455,-0.033148001,0.03787022,Factor1,14.42956368,0.143415375,16.07172508,0,154,#891514,0xf6ebcf
